"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C01","Value of Exports","2017","2017","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","615"
"TSA11C01","Value of Exports","2017","2017","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","545"
"TSA11C01","Value of Exports","2017","2017","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","1985"
"TSA11C01","Value of Exports","2017","2017","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","14778"
"TSA11C01","Value of Exports","2017","2017","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","17923"
"TSA11C01","Value of Exports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","241"
"TSA11C01","Value of Exports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","190"
"TSA11C01","Value of Exports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","6029"
"TSA11C01","Value of Exports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","46510"
"TSA11C01","Value of Exports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","52971"
"TSA11C01","Value of Exports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","549"
"TSA11C01","Value of Exports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1329"
"TSA11C01","Value of Exports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","8161"
"TSA11C01","Value of Exports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","19114"
"TSA11C01","Value of Exports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","29152"
"TSA11C01","Value of Exports","2017","2017","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","2415"
"TSA11C01","Value of Exports","2017","2017","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","2657"
"TSA11C01","Value of Exports","2017","2017","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","1822"
"TSA11C01","Value of Exports","2017","2017","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","2302"
"TSA11C01","Value of Exports","2017","2017","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","9196"
"TSA11C01","Value of Exports","2017","2017","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","3658"
"TSA11C01","Value of Exports","2017","2017","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","579"
"TSA11C01","Value of Exports","2017","2017","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","5166"
"TSA11C01","Value of Exports","2017","2017","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","278"
"TSA11C01","Value of Exports","2017","2017","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","50","Services/other (49-98)","-","All Enterprises","Euro Million","9681"
"TSA11C01","Value of Exports","2017","2017","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C01","Value of Exports","2017","2017","99","Unknown","99","Unknown","Euro Million","2837"
"TSA11C01","Value of Exports","2017","2017","99","Unknown","-","All Enterprises","Euro Million","2837"
"TSA11C01","Value of Exports","2017","2017","-","All sectors","05","Micro (0 to 9)","Euro Million","7478"
"TSA11C01","Value of Exports","2017","2017","-","All sectors","01","Small (10 to 49)","Euro Million","5300"
"TSA11C01","Value of Exports","2017","2017","-","All sectors","02","Medium (50 to 249)","Euro Million","23162"
"TSA11C01","Value of Exports","2017","2017","-","All sectors","03","Large (250 or more)","Euro Million","82983"
"TSA11C01","Value of Exports","2017","2017","-","All sectors","99","Unknown","Euro Million","2837"
"TSA11C01","Value of Exports","2017","2017","-","All sectors","-","All Enterprises","Euro Million","121759"
"TSA11C01","Value of Exports","2018","2018","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","399"
"TSA11C01","Value of Exports","2018","2018","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","562"
"TSA11C01","Value of Exports","2018","2018","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","1906"
"TSA11C01","Value of Exports","2018","2018","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","14887"
"TSA11C01","Value of Exports","2018","2018","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","17754"
"TSA11C01","Value of Exports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","87"
"TSA11C01","Value of Exports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","182"
"TSA11C01","Value of Exports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","10623"
"TSA11C01","Value of Exports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","58546"
"TSA11C01","Value of Exports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","69438"
"TSA11C01","Value of Exports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","539"
"TSA11C01","Value of Exports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1183"
"TSA11C01","Value of Exports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","8734"
"TSA11C01","Value of Exports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","18446"
"TSA11C01","Value of Exports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","28902"
"TSA11C01","Value of Exports","2018","2018","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","2511"
"TSA11C01","Value of Exports","2018","2018","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","3139"
"TSA11C01","Value of Exports","2018","2018","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","1834"
"TSA11C01","Value of Exports","2018","2018","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","2908"
"TSA11C01","Value of Exports","2018","2018","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","10391"
"TSA11C01","Value of Exports","2018","2018","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","3994"
"TSA11C01","Value of Exports","2018","2018","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","499"
"TSA11C01","Value of Exports","2018","2018","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","2852"
"TSA11C01","Value of Exports","2018","2018","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","1297"
"TSA11C01","Value of Exports","2018","2018","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","50","Services/other (49-98)","-","All Enterprises","Euro Million","8643"
"TSA11C01","Value of Exports","2018","2018","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C01","Value of Exports","2018","2018","99","Unknown","99","Unknown","Euro Million","4473"
"TSA11C01","Value of Exports","2018","2018","99","Unknown","-","All Enterprises","Euro Million","4473"
"TSA11C01","Value of Exports","2018","2018","-","All sectors","05","Micro (0 to 9)","Euro Million","7531"
"TSA11C01","Value of Exports","2018","2018","-","All sectors","01","Small (10 to 49)","Euro Million","5565"
"TSA11C01","Value of Exports","2018","2018","-","All sectors","02","Medium (50 to 249)","Euro Million","25948"
"TSA11C01","Value of Exports","2018","2018","-","All sectors","03","Large (250 or more)","Euro Million","96084"
"TSA11C01","Value of Exports","2018","2018","-","All sectors","99","Unknown","Euro Million","4473"
"TSA11C01","Value of Exports","2018","2018","-","All sectors","-","All Enterprises","Euro Million","139600"
"TSA11C01","Value of Exports","2019","2019","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","563"
"TSA11C01","Value of Exports","2019","2019","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","548"
"TSA11C01","Value of Exports","2019","2019","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","1973"
"TSA11C01","Value of Exports","2019","2019","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","15016"
"TSA11C01","Value of Exports","2019","2019","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
